date,Inflation rate
2010-Q1,3.9
2010-Q2,3.833
2010-Q3,3.867
2010-Q4,3.5
2011-Q1,4.533
2011-Q2,4.933
2011-Q3,4.733
2011-Q4,4.7
2012-Q1,3.333
2012-Q2,2.933
2012-Q3,3.467
2012-Q4,2.967
2013-Q1,2.8
2013-Q2,2.333
2013-Q3,2.167
2013-Q4,3.033
2014-Q1,3.6
2014-Q2,3.8
2014-Q3,4.1
2014-Q4,2.867
2015-Q1,1.5
2015-Q2,0.967
2015-Q3,-0.07
2015-Q4,0.267
2016-Q1,0.6
2016-Q2,0.967
2016-Q3,1.433
2016-Q4,2.033
2017-Q1,2.9
2017-Q2,2.867
2017-Q3,2.667
2017-Q4,3
2018-Q1,3.8
2018-Q2,4.633
2018-Q3,6.433
2018-Q4,6.067
2019-Q1,3.867
2019-Q2,3.033
2019-Q3,1.367
2019-Q4,1.4
2020-Q1,2.567
2020-Q2,1.9
2020-Q3,2.267
2020-Q4,2.867
2021-Q1,4
2021-Q2,3.967
2021-Q3,4.1
2021-Q4,3.6
