date,Farmgate Price
2010-Q1,51.367
2010-Q2,55.45
2010-Q3,51.13
2010-Q4,52.457
2011-Q1,55.52
2011-Q2,61.54
2011-Q3,55.24
2011-Q4,50.72
2012-Q1,59.693
2012-Q2,63.603
2012-Q3,66.21
2012-Q4,59.817
2013-Q1,64.297
2013-Q2,71.987
2013-Q3,69.02
2013-Q4,62.867
2014-Q1,70.12
2014-Q2,76.073
2014-Q3,70.18
2014-Q4,67.17
2015-Q1,79.163
2015-Q2,79.067
2015-Q3,77.12
2015-Q4,75.673
2016-Q1,83.747
2016-Q2,78.633
2016-Q3,81.55
2016-Q4,83.313
2017-Q1,89.903
2017-Q2,91.263
2017-Q3,91.8
2017-Q4,84.737
2018-Q1,91.927
2018-Q2,92.99
2018-Q3,98.03
2018-Q4,84.033
2019-Q1,91.097
2019-Q2,92.283
2019-Q3,82.71
2019-Q4,81.543
2020-Q1,88.433
2020-Q2,74.813
2020-Q3,82.68
2020-Q4,82.247
2021-Q1,89.963
2021-Q2,95.737
2021-Q3,91.17
2021-Q4,83.693
