date,Production Volume
2010-Q1,12439.01
2010-Q2,3416.29
2010-Q3,3191.57
2010-Q4,14919.65
2011-Q1,10928.63
2011-Q2,3333.25
2011-Q3,2969.42
2011-Q4,14257.9
2012-Q1,12191.4
2012-Q2,3014.29
2012-Q3,2939.29
2012-Q4,13767.32
2013-Q1,10369.08
2013-Q2,2902.43
2013-Q3,2362
2013-Q4,11646.64
2014-Q1,9855.45
2014-Q2,2832.88
2014-Q3,2099.09
2014-Q4,11296.57
2015-Q1,8546.72
2015-Q2,2709.52
2015-Q3,2155.71
2015-Q4,11511.57
2016-Q1,8284.62
2016-Q2,2280.17
2016-Q3,2018.5
2016-Q4,11066.24
2017-Q1,7131.23
2017-Q2,2002.68
2017-Q3,1877.75
2017-Q4,10504.75
2018-Q1,6674.04
2018-Q2,1914.05
2018-Q3,1903.18
2018-Q4,10544.17
2019-Q1,5959.63
2019-Q2,1799.62
2019-Q3,1900.77
2019-Q4,11115.06
2020-Q1,5961.57
2020-Q2,1743.44
2020-Q3,1837.18
2020-Q4,11362.13
2021-Q1,7033.6
2021-Q2,1660.48
2021-Q3,1750.95
2021-Q4,10868.89
